L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
nucl1327,Limilngan,er,Limilngan - ~N/A~,22,3,22003
kuik1246,Kuikúro,saphon,Kuikúro-Kalapálo - ~N/A~,14,12,14012
yaku1245,Yakut,upsid,YAKUT - ~N/A~,22,12,22012
viet1252,Vietnamese,upsid,VIETNAMESE - ~N/A~,22,14,22014
itel1242,Itelmen,ea,Itelmen - ~N/A~,27,5,27005
yuro1248,Yurok,ph,Yurok - ~N/A~,23,12,23012
nort2845,Marquesan,ph,North Marquesan - Nuku Hiva,12,10,12010
came1252,Mambila,gm,Mambila - Atta,20,11,20011
nung1290,Nunggubuyu,upsid,NUNGGUBUYU - ~N/A~,19,4,19004
iqui1243,Iquito,saphon,Iquito - ~N/A~,11,8,11008
mamb1296,Mambwe,gm,cilungu - ~N/A~,19,10,19010
dani1285,Danish,uz,Danish - ~N/A~,20,49,20049
lavu1241,Lavukaleve,ph,Lavukaleve - ~N/A~,15,5,15005
mend1266,Mende,aa,Mende - ~N/A~,23,7,23007
wint1259,Wintu,upsid,WINTU - ~N/A~,30,5,30005
assa1263,Assamese,ea,Assamese - Assamese (Standard),22,14,22014
nuer1246,Nuer,gm,Nuer - ~N/A~,20,28,20028
niva1238,Nivacle,saphon,Chulupí - ~N/A~,22,6,22006
inga1252,Inga,saphon,Inga - Highland dialect,19,3,19003
bert1248,Berta,upsid,BERTA - ~N/A~,24,5,24005
awng1244,Awngi,upsid,AWIYA - ~N/A~,28,7,28007
taro1264,Seediq,ph,Sedik - ~N/A~,33,10,33010
yano1262,Yanomámi,saphon,Yanomama of Papiu - Yanomama of Papiu,12,21,12021
moco1246,Mocoví,ph,Mocovi - ~N/A~,23,8,23008
tulu1258,Tulu,ra,Tulu - ~N/A~,23,12,23012
wara1290,Waray (in Australia),er,Warray - ~N/A~,16,5,16005
luch1239,Lucazi,ph,Lucazi - ~N/A~,32,10,32010
koda1255,Kodava,ra,Kod̩agu - ~N/A~,27,25,27025
soma1255,Somali,spa,Somali - ~N/A~,30,20,30020
surs1246,Sursurunga,ph,Sursurunga - East Coast,15,6,15006
zand1248,Zande,upsid,AZANDE - ~N/A~,19,16,19016
mund1330,Mundurukú,ph,Mundurukú - ~N/A~,17,20,17020
yoru1245,Yoruba,upsid,YORUBA - ~N/A~,18,11,18011
boro1277,Shinassha,ph,Boro - ~N/A~,16,6,16006
muru1266,Muruwari,er,Muruwari - ~N/A~,19,6,19006
andi1255,Andi,ea,Andi - ~N/A~,63,5,63005
seme1247,Semelai,ph,Semelai - ~N/A~,33,18,33018
mund1320,Mundari,ra,Bhumij - ~N/A~,33,21,33021
stan1289,Catalan,ea,Catalan - Catalan (Central),25,10,25010
bugi1244,Bugis,gm,Bugis - ~N/A~,19,6,19006
stan1295,German,ea,German - German (Standard),24,16,24016
abkh1244,Abkhaz,ea,Abkhaz - Abkhaz (Abzhywa),59,3,59003
bali1278,Balinese,gm,Balinese - ~N/A~,18,6,18006
guat1253,Guató,saphon,Guató - ~N/A~,17,8,17008
east2379,Arrernte (Mparntwe),upsid,ARRERNTE - ~N/A~,27,3,27003
bulg1262,Bulgarian,uz,Bulgarian - Standard Bulgarian,23,7,23007
wapp1239,Wappo,upsid,WAPPO - ~N/A~,30,5,30005
haus1257,Hausa,uz,Hausa - (Standard) (Kano) Hausa (spoken in Kano,32,10,32010
daur1238,Dagur,ea,Daur - ~N/A~,45,12,45012
basq1250,Basque (Souletin),ea,Zuberoan Basque - ~N/A~,29,14,29014
dier1241,Diyari,er,Yarluyandi - ~N/A~,21,3,21003
kama1367,Kamasau,ph,Kamasau - ~N/A~,23,6,23006
jaru1254,Djaru,er,Jaru - ~N/A~,17,6,17006
nort2980,Quechua (Tarma),saphon,North Junín Quechua - Tarma dialect,19,6,19006
