glottocode,Phoneme,dataset
sgaw1245,s,spa
sgaw1245,sʰ,spa
sgaw1245,t,spa
sgaw1245,tʰ,spa
sgaw1245,w,spa
sgaw1245,x,spa
sgaw1245,z,spa
sgaw1245,ŋ,spa
sgaw1245,ɓ,spa
sgaw1245,ɗ,spa
sgaw1245,ɣ,spa
sgaw1245,ɦ,spa
sgaw1245,ɲ,spa
sgaw1245,ɹ,spa
sgaw1245,ʃ,spa
sgaw1245,ʔ,spa
sgaw1245,θ,spa
sgaw1245,˦˥,spa
sgaw1245,˧˨̤,spa
sgaw1245,˧˩,spa
sgaw1245,a,spa
sgaw1245,e,spa
sgaw1245,i,spa
sgaw1245,o,spa
sgaw1245,u,spa
sgaw1245,ɔ,spa
sgaw1245,ɛ,spa
sgaw1245,ɜ,spa
sgaw1245,ɪ̈,spa
lakk1238,f,spa
lakk1238,h,spa
lakk1238,j,spa
lakk1238,j̥,spa
lakk1238,k,spa
lakk1238,kʰ,spa
lakk1238,kʲʰ,spa
lakk1238,kʷ,spa
lakk1238,kʷʰ,spa
lakk1238,l,spa
lakk1238,m,spa
lakk1238,m̥,spa
lakk1238,n,spa
lakk1238,n̥,spa
lakk1238,p,spa
lakk1238,pʰ,spa
lakk1238,t,spa
