Name,glottocode,Genus,Family,Latitude,Longitude
"Thompson","thom1243","Interior Salish","Salishan",49.75,-121.75
"Thao","thao1240","Western Plains Austronesian","Austronesian",23.8833333333,120.916666667
"Tigrinya","tigr1271","Semitic","Afro-Asiatic",14.5,38.5
"Tojolabal","tojo1241","Mayan","Mayan",16.3333333333,-91.5
"Tswana","tswa1253","Bantoid","Niger-Congo",-24.0,26.0
"Twana","twan1247","Central Salish","Salishan",47.6666666667,-122.75
"Waray-Waray","wara1300","Greater Central Philippine","Austronesian",12.0,125.0
"Arbore","arbo1245","Lowland East Cushitic","Afro-Asiatic",5.0,36.75
"Alagwa","alag1248","Southern Cushitic","Afro-Asiatic",-5.5,35.75
"Babungo","veng1238","Bantoid","Niger-Congo",6.11666666667,10.4166666667
"Bayso","bais1246","Lowland East Cushitic","Afro-Asiatic",6.25,37.75
"Chichewa","nyan1308","Bantoid","Niger-Congo",-14.0,34.0
"Defaka","defa1248","Ijoid","Ijoid",4.58333333333,7.5
"Fula (Guinean)","pula1262","Peul-Serer","Niger-Congo",11.5,-12.5
"Godié","godi1239","Kru","Niger-Congo",5.41666666667,-5.83333333333
"Lingala","ling1263","Bantoid","Niger-Congo",2.0,18.5
"Nyiha","nyih1240","Bantoid","Niger-Congo",-10.0,33.0
"Pileni","pile1238","Oceanic","Austronesian",-10.2166666667,166.216666667
"Pomo (Central)","cent2138","Pomoan","Hokan",39.0,-123.333333333
"Qafar","afar1241","Lowland East Cushitic","Afro-Asiatic",12.0,42.0
"Rendille","rend1243","Lowland East Cushitic","Afro-Asiatic",2.0,37.5
"Retuarã","tani1257","Tucanoan","Tucanoan",-0.5,-70.6666666667
"Sawu","sabu1255","Central Malayo-Polynesian","Austronesian",-11.5,121.916666667
"Sahaptin (Umatilla)","umat1237","Sahaptian","Penutian",45.6666666667,-118.5
"Taiap","taia1239","Gapun","Gapun",-4.08333333333,144.5
"Tuvaluan","tuva1244","Oceanic","Austronesian",-8.5,179.166666667
"Yazgulyam","yazg1240","Iranian","Indo-European",38.5,71.5
"Agta (Dupaningan)","dupa1235","Greater Central Philippine","Austronesian",18.0,122.083333333
"Ajagbe","ajab1235","Kwa","Niger-Congo",7.0,1.75
"Arop-Lokep","arop1243","Oceanic","Austronesian",-5.38333333333,147.05
"Avikam","avik1243","Kwa","Niger-Congo",5.16666666667,-5.5
"Avokaya","avok1242","Moru-Ma'di","Central Sudanic",4.66666666667,30.0
"Anyi","anyi1245","Kwa","Niger-Congo",7.0,-3.5
"Baka (in Cameroon)","baka1272","Ubangi","Niger-Congo",2.58333333333,13.5833333333
"Basaá","basa1284","Bantoid","Niger-Congo",3.91666666667,10.5
"Benga","beng1282","Bantoid","Niger-Congo",1.16666666667,9.41666666667
"Bugun","bugu1246","Western Arunachal","Sino-Tibetan",27.5,92.5833333333
"Bidiya","bidi1241","East Chadic","Afro-Asiatic",11.9166666667,18.75
"Binandere","bina1277","Binanderean","Trans-New Guinea",-8.25,148.0
"Bakueri","mokp1239","Bantoid","Niger-Congo",4.25,9.25
"Balangao","bala1310","Northern Luzon","Austronesian",17.1666666667,121.166666667
