Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Capanahua,kaq,Panoan,Panoan,South America,-7.0,-74.0,Peru
Carapana,cbc,Tucanoan,Tucanoan,South America,0.83,-70.75,Colombia
Carib,car,Cariban,Cariban,South America,5.5,-56.0,Suriname
Carib (De'kwana),mch,Cariban,Cariban,South America,5.5,-65.0,Venezuela
Carijona,cbd,Cariban,Cariban,South America,1.0,-73.0,Colombia
Cashibo,cbr,Panoan,Panoan,South America,-8.5,-75.5,Peru
Cashinahua,cbs,Panoan,Panoan,South America,-10.5,-71.83,Brazil
Catalan,cat,Romance,Indo-European,Eurasia,41.75,2.0,Spain
Catio,cto,Choco,Choco,South America,7.17,-76.33,Colombia
Cavine�a,cav,Tacanan,Tacanan,South America,-13.33,-66.5,Bolivia
Cayapa,cbi,Barbacoan,Barbacoan,South America,0.67,-79.0,Ecuador
Cayuvava,cyb,Cayuvava,Cayuvava,South America,-13.5,-65.5,Bolivia
Cebuano,ceb,Greater Central Philippine,Austronesian,Papunesia,10.0,124.0,Philippines
Ch�cobo,cao,Panoan,Panoan,South America,-12.17,-66.75,Bolivia
Chaga,old,Bantoid,Niger-Congo,Africa,-3.0,37.0,Tanzania
Chaha,sgw,Semitic,Afro-Asiatic,Africa,8.11,37.93,Ethiopia
Chai,suq,Surmic,Eastern Sudanic,Africa,5.33,35.33,Ethiopia
Chaldean (Modern),cld,Semitic,Afro-Asiatic,Eurasia,36.0,43.0,Iraq
Cham (Eastern),cjm,Malayo-Sumbawan,Austronesian,Eurasia,11.33,108.5,Vietnam
Chamorro,cha,Chamorro,Austronesian,Papunesia,13.45,144.75,Guam
Chantyal,chx,Bodic,Sino-Tibetan,Eurasia,28.58,83.42,Nepal
Chatino (Sierra Occidental),ctp,Zapotecan,Oto-Manguean,North America,16.25,-97.33,Mexico
Chatino (Yaitepec),ctp,Zapotecan,Oto-Manguean,North America,16.25,-97.25,Mexico
Chaudangsi,cdn,Bodic,Sino-Tibetan,Eurasia,30.0,80.25,India
Chayahuita,cbt,Cahuapanan,Cahuapanan,South America,-5.5,-77.0,Peru
Chechen,che,Nakh,Nakh-Daghestanian,Eurasia,43.25,45.83,Russia
Chehalis (Upper),cjh,Tsamosan,Salishan,North America,46.58,-123.0,United States
Chemehuevi,ute,Numic,Uto-Aztecan,North America,34.33,-115.17,United States
Chepang,cdm,Mahakiranti,Sino-Tibetan,Eurasia,27.67,84.75,Nepal
Cherokee,chr,Southern Iroquoian,Iroquoian,North America,35.5,-83.5,United States
Chickasaw,cic,Muskogean,Muskogean,North America,34.0,-88.0,United States
Chimariko,cid,Chimariko,Hokan,North America,41.0,-123.0,United States
Chimila,cbg,Chimila,Chibchan,South America,10.0,-74.0,Colombia
Chin (Tiddim),ctd,Kuki-Chin,Sino-Tibetan,Eurasia,23.33,93.67,Myanmar
Chinantec (Lealao),cle,Chinantecan,Oto-Manguean,North America,17.33,-95.92,Mexico
Chinantec (Quiotepec),chq,Chinantecan,Oto-Manguean,North America,17.58,-96.67,Mexico
Chinantec (Sochiapan),cso,Chinantecan,Oto-Manguean,North America,17.75,-96.67,Mexico
Chipaya,cap,Uru-Chipaya,Uru-Chipaya,South America,-18.75,-67.83,Bolivia
Chipewyan,chp,Athapaskan,Na-Dene,North America,59.0,-106.0,Canada
Chiquitano,cax,Chiquito,Chiquito,South America,-17.5,-60.0,Bolivia
Chiriguano,gui,Tupi-Guaran�,Tupian,South America,-23.67,-64.33,Paraguay
Choctaw,cho,Muskogean,Muskogean,North America,32.25,-88.5,United States
Chontal Maya,chf,Mayan,Mayan,North America,18.17,-92.58,Mexico
Chrau,crw,Bahnaric,Austro-Asiatic,Eurasia,10.75,107.5,Vietnam
