description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER OPEN E - LATIN SMALL LETTER SCHWA,ɛə,0.000942507,B0C1D216DB9B516FE4132BCA592DDAC3,3,ɛə,1566,vowel
LATIN SMALL LETTER ALPHA - LATIN SMALL LETTER UPSILON,ɑʊ,0.000942507,67CC965160FC5F6A8F279901A0BA6E12,3,ɑʊ,1609,vowel
LATIN SMALL LETTER ALPHA - LATIN SMALL LETTER E,ɑe,0.000942507,3176D40619659D8F83AAAB0ABA3D8AA8,3,ɑe,1652,vowel
LATIN SMALL LETTER A - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,a,0.000942507,9E5C510AB3AF4120EC11F29E4B8F4C6C,3,a̤ˑ,1728,vowel
LATIN SMALL LETTER E - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,e,0.000942507,4CAB1B4C284B693ED283B81B90349235,3,e̤ˑ,1731,vowel
LATIN SMALL LETTER OPEN E - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,ɛ,0.000942507,948AFE4543325DAD1E104C89BA3809A8,3,ɛ̤ˑ,1734,vowel
LATIN SMALL LETTER I - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,i,0.000942507,A6DDF9A792ADCB7BA326D36F65ED31AA,3,i̤ˑ,1737,vowel
LATIN SMALL LETTER OPEN O - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,ɔ,0.000942507,1D8124F41F54AD1D98316A8F3D5EAADC,3,ɔ̤ˑ,1743,vowel
LATIN SMALL LETTER U - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,u,0.000942507,DACEB5021CB7A013E75D136205842228,3,ṳˑ,1745,vowel
LATIN SMALL LETTER Y - COMBINING DIAERESIS BELOW,y,0.000942507,9E0A246EBA5516443F913C9B78A9EAF6,3,y̤,1816,vowel
LATIN SMALL LETTER TURNED ALPHA - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,ɒ,0.000942507,8F03F77816212E0B6D9F30B0063063E6,3,ɒ̃ː,1962,vowel
LATIN SMALL LETTER I - COMBINING DIAERESIS,i,0.000942507,8279E6E5716AE3B03F3EA84DC97B39B1,3,ï,2050,vowel
LATIN SMALL LETTER U - COMBINING LEFT HALF RING BELOW,u,0.000942507,7A9B91EE7D803D3465609A64358C07F5,3,u̜,2088,vowel
LATIN SMALL LETTER OPEN E - MODIFIER LETTER HALF TRIANGULAR COLON,ɛ,0.000942507,3F348136B3CB86BCA998BF88757DAE24,3,ɛˑ,2122,vowel
LATIN SMALL LETTER OPEN E - LATIN SMALL LETTER O,ɛo,0.000942507,CB16DD20E168B160D04230ED4141ADC2,3,ɛo,2127,vowel
LATIN SMALL LETTER U - COMBINING DIAERESIS - MODIFIER LETTER TRIANGULAR COLON,u,0.000942507,963710B79413FD4387C6CF329B4EA189,3,üː,2143,vowel
LATIN SMALL LETTER OPEN E - COMBINING DOWN TACK BELOW,ɛ,0.000942507,ACF24B235AC19349AF2039A2B109ED77,3,ɛ̞,2156,vowel
LATIN SMALL LETTER E - COMBINING TILDE BELOW - COMBINING TILDE,e,0.000942507,3E9A3F03523F0611C7B21DC671B0569A,3,ḛ̃,2181,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,ii,0.000942507,683CA0FBF11D5DFFFB5A93111F43566C,3,ii̯,2193,vowel
LATIN SMALL LETTER OPEN O - LATIN SMALL LETTER E,ɔe,0.000942507,EA5AA3590F6455CFAB90B2FEE0A8B6A5,3,ɔe,2223,vowel
LATIN SMALL LETTER A - LATIN LETTER SMALL CAPITAL I - COMBINING TILDE,aɪ,0.000942507,B34BA46A79ECC81BEECFE9E0675B343A,3,aɪ̃,2240,vowel
LATIN SMALL LETTER E - LATIN LETTER SMALL CAPITAL I - COMBINING TILDE,eɪ,0.000942507,E55096429257443EBAC4174895464303,3,eɪ̃,2243,vowel
LATIN LETTER SMALL CAPITAL I - COMBINING DOWN TACK BELOW,ɪ,0.000942507,850533288752C08BBC026148F2C2166A,3,ɪ̞,2266,vowel
LATIN SMALL LIGATURE OE - COMBINING DOWN TACK BELOW,œ,0.000942507,AE5C73C2FF1FB18F3B765DBDA1C6C149,3,œ̞,2267,vowel
LATIN SMALL LETTER AE - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,æu,0.000942507,8F4619FC1DDC04E3163F94C419EEC360,3,æu̯,2272,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,iu,0.000942507,E8CF0B6F839E99A150C729AFD1B33468,3,iu̯,2290,vowel
LATIN SMALL LETTER O - LATIN SMALL LETTER SCHWA,oə,0.000942507,2EE2D021EF140BBB4129A0E8B7E0B2EA,3,oə,2309,vowel
LATIN SMALL LETTER TURNED V - LATIN SMALL LETTER U,ʌu,0.000942507,40DE174480A12B5D6E5154064CC11739,3,ʌu,2311,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER A,ya,0.000942507,F281404923338759CB33C4CFA6B15BDA,3,ya,2463,vowel
LATIN SMALL LETTER A - LATIN SMALL LETTER E - COMBINING INVERTED BREVE BELOW,ae,0.000942507,9F33F3FE0F7FD259D4B957CDCF0384E4,3,ae̯,2491,vowel
LATIN SMALL LETTER O - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,o,0.000942507,B6482B7D22CAC7B5D032C379D3F0E098,3,oˤː,2496,vowel
LATIN SMALL LETTER A - COMBINING DIAERESIS - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,ai,0.000942507,03489E0AA74A6369982D8FBC8149FA11,3,äi̯,2622,vowel
LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER OPEN E,uɛ,0.000942507,D14B79ABB9AB75FB80E9A8FAD687E6FA,3,u̯ɛ,2687,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER O WITH STROKE,yø,0.000942507,2ECCDDB16D4285722A8B5603DAE11005,3,yø,2698,vowel
LATIN SMALL LETTER AE - COMBINING TILDE BELOW,æ,0.000942507,7158E85E14231D8BD87BC4631BD06007,3,æ̰,2703,vowel
LATIN SMALL LETTER AE - LATIN LETTER SMALL CAPITAL I - COMBINING INVERTED BREVE BELOW,æɪ,0.000942507,C09E290BA80B94FE14256CE17D7EAB2C,3,æɪ̯,2711,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER ALPHA - COMBINING TILDE,uɑ,0.000942507,459E03C14F3DBBC917ADCCEB0F122911,3,uɑ̃,2719,vowel
LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW - COMBINING TILDE,i,0.000942507,F5A695BE0D1C3DB39D1AF6A10ED8ED5B,3,ĩ̯,2767,vowel
LATIN SMALL LETTER OPEN O - COMBINING DOWN TACK BELOW,ɔ,0.000942507,680943FD96AB2E8F9B26F347248C4594,3,ɔ̞,2777,vowel
LATIN SMALL LETTER AE - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,æ,0.000628338,680281361599D0CF12A3F6A9E1FBDC41,2,æˤ,59,vowel
LATIN SMALL LETTER O WITH STROKE - COMBINING DOWN TACK BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ø,0.000628338,1B3FC40CDA830A2E1D11737C375F56B5,2,ø̞ˤ,70,vowel
LATIN SMALL LETTER RAMS HORN - COMBINING DOWN TACK BELOW - MODIFIER LETTER TRIANGULAR COLON,ɤ,0.000628338,1165119C3C837C2F90F43529AF000FCF,2,ɤ̞ː,452,vowel
LATIN LETTER SMALL CAPITAL I - COMBINING DIAERESIS - MODIFIER LETTER TRIANGULAR COLON,ɪ,0.000628338,AAA2F3CEE9645CDB5C0F66C109156D74,2,ɪ̈ː,561,vowel
LATIN SMALL LETTER O - COMBINING INVERTED BREVE BELOW,o,0.000628338,DC0F6A9A56697A84C36C0DD913DE1529,2,o̯,638,vowel
LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW,ə,0.000628338,D4850AD60D0A661937C9582CC6D4725E,2,ə̯,648,vowel
LATIN SMALL LETTER TURNED ALPHA - COMBINING BREVE,ɒ,0.000628338,23C3230B7F111C495492EBBA89F6EC50,2,ɒ̆,732,vowel
LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - COMBINING BREVE,e,0.000628338,1D570F3A6FA261CB94216DD909A2B5F2,2,ĕ̞,733,vowel
LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW - COMBINING BREVE,o,0.000628338,1F86CF5DCCEA37002EAC3C9E02DCC35E,2,ŏ̞,734,vowel
LATIN LETTER SMALL CAPITAL I - COMBINING RIGHT TACK BELOW,ɪ,0.000628338,099D8E6F547760792B21175ACEC20FFB,2,ɪ̙,743,vowel
LATIN SMALL LETTER UPSILON - COMBINING RIGHT TACK BELOW,ʊ,0.000628338,74B41373DF5F8330837456696176016B,2,ʊ̙,744,vowel
LATIN SMALL LETTER UPSILON - COMBINING RIGHT TACK BELOW - MODIFIER LETTER TRIANGULAR COLON,ʊ,0.000628338,EF71EF8985B354A15279E4D5519C68BF,2,ʊ̙ː,745,vowel
LATIN LETTER SMALL CAPITAL I - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ɪ,0.000628338,2C0EC6D9E309C6BD8B2955C4F2497F57,2,ɪˤ,781,vowel
LATIN SMALL LETTER OPEN O - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ɔ,0.000628338,9493AD0CFEDEA370A0908A0BE3D7A91F,2,ɔˤ,782,vowel
LATIN SMALL LETTER UPSILON - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ʊ,0.000628338,BB2537BA50AF41F49C98202800E44E7E,2,ʊˤ,783,vowel
LATIN SMALL LETTER REVERSED OPEN E - LATIN SMALL LETTER I,ɜi,0.000628338,D6583CDB585C6532D187D8E1F2209583,2,ɜi,787,vowel
LATIN SMALL LETTER TURNED M - COMBINING X BELOW,ɯ,0.000628338,CFE113C5FB098FA8AD3E61FAE8DDFAF0,2,ɯ͓,844,vowel
LATIN SMALL LETTER TURNED ALPHA - COMBINING DIAERESIS BELOW,ɒ,0.000628338,9E33E202E71C8F2B07B23E8A2591DE2A,2,ɒ̤,861,vowel
LATIN SMALL LETTER A - LATIN SMALL LETTER I WITH STROKE,aɨ,0.000628338,535A826D1EC88966353000B3B05C2094,2,aɨ,951,vowel
LATIN SMALL LETTER O - COMBINING BREVE,o,0.000628338,0496E7C99DC39C02DAD1416A83ECCA07,2,ŏ,952,vowel
LATIN SMALL LETTER A - COMBINING TILDE - LATIN SMALL LETTER I - COMBINING TILDE,ai,0.000628338,15A91642F3D4ECE2C4BEF5246E3BDB0C,2,ãĩ,985,vowel
LATIN SMALL LETTER OPEN O - COMBINING TILDE - LATIN SMALL LETTER I - COMBINING TILDE,ɔi,0.000628338,77129A49A60F2CF22775498D7C74F8DA,2,ɔ̃ĩ,988,vowel
LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW - COMBINING TILDE - LATIN SMALL LETTER I - COMBINING TILDE,oi,0.000628338,52015C3FEB4787D25971875A8A7624A8,2,õ̞ĩ,1024,vowel
LATIN SMALL LETTER A - COMBINING TILDE - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,a,0.000628338,6DD344CD52A8CB6B072BD1DDD4429A19,2,ãˤ,1049,vowel
LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - COMBINING TILDE - LATIN SMALL LETTER I - COMBINING TILDE,ei,0.000628338,E02BD96331CF180387552A4CFF069871,2,ẽ̞ĩ,1060,vowel
LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW - LATIN SMALL LETTER A,oa,0.000628338,126730F41EF6E33E5D0B89EB1DDBF3F3,2,o̞a,1106,vowel
LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - COMBINING TILDE BELOW,e,0.000628338,93F9ADEC1D56A271FE940E2F9634F676,2,e̞̰,1134,vowel
LATIN SMALL LETTER RAMS HORN - LATIN SMALL LETTER I,ɤi,0.000628338,34FA424C8FCA3BE8FECBEFC424AE77E0,2,ɤi,1176,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER O WITH STROKE - COMBINING DOWN TACK BELOW,yø,0.000628338,3845A2B2A7F88E1F1935BB13EDD165CC,2,yø̞,1208,vowel
LATIN SMALL LETTER U BAR - COMBINING DOWN TACK BELOW,ʉ,0.000628338,6B9FBAD384A55A95E9612372D30E6C56,2,ʉ̞,1231,vowel
LATIN SMALL LETTER ALPHA - COMBINING UP TACK BELOW,ɑ,0.000628338,FD8C520CBA2F62F1D422A7931944FE2F,2,ɑ̝,1232,vowel
LATIN SMALL LETTER BARRED O - COMBINING TILDE,ɵ,0.000628338,6C233317BF3AA225AB9FCD360A38977A,2,ɵ̃,1251,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER TURNED V,iʌ,0.000628338,29CB4F85BD3A9BA25C5636464AD8211B,2,iʌ,1252,vowel
LATIN SMALL LETTER E - MODIFIER LETTER SMALL GAMMA,e,0.000628338,EE2836E87F73F30F6D6A7AC90F2D2DD1,2,eˠ,1318,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER A - MODIFIER LETTER TRIANGULAR COLON,ua,0.000628338,6594B9BEBE3F32C38373883E8F27479C,2,uaː,1361,vowel
LATIN SMALL LETTER AE - COMBINING DIAERESIS BELOW,æ,0.000628338,5365D21020FED76115C4068D65068C86,2,æ̤,1425,vowel
LATIN SMALL LETTER AE - COMBINING DIAERESIS BELOW - MODIFIER LETTER TRIANGULAR COLON,æ,0.000628338,D7538776DCDD173047F404B8BFEFF0F2,2,æ̤ː,1426,vowel
LATIN SMALL LETTER BARRED O - COMBINING DIAERESIS BELOW,ɵ,0.000628338,73EA9B2956D48C401C51F225FFFE0CE2,2,ɵ̤,1431,vowel
LATIN SMALL LETTER UPSILON - COMBINING DIAERESIS BELOW - MODIFIER LETTER TRIANGULAR COLON,ʊ,0.000628338,002A59D020AF2D2E20A02B5A89F2B6E1,2,ʊ̤ː,1435,vowel
LATIN SMALL LETTER A - LATIN SMALL LETTER Y,ay,0.000628338,8154FCBD2FE28F50ACBB8F417E14B8BF,2,ay,1439,vowel
LATIN SMALL LETTER AE - LATIN SMALL LETTER E,æe,0.000628338,FB0C9A61996D187DAACD9A1CA1D3C1DE,2,æe,1459,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER A - COMBINING TILDE,ia,0.000628338,B3DF58036F29FC66C75F30E8DC0444D5,2,iã,1460,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER E - COMBINING TILDE,ue,0.000628338,61640D2E5274E4411B7254A85170CCF5,2,uẽ,1466,vowel
LATIN SMALL LETTER TURNED V - COMBINING DIAERESIS BELOW - MODIFIER LETTER TRIANGULAR COLON,ʌ,0.000628338,B2143B9C171BA90BCD3ED8A070303865,2,ʌ̤ː,1478,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER O - LATIN SMALL LETTER U,iou,0.000628338,43562F64958BE87998D566A36EA1B846,2,iou,1502,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER E - LATIN SMALL LETTER I,uei,0.000628338,E13708CF8615C7578CC53E33EADAA4DC,2,uei,1505,vowel
LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER A - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,iau,0.000628338,FC1D5AAAE536C5FFF30587054DF9B49E,2,i̯au̯,1522,vowel
LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER E - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,uei,0.000628338,142806D631E908AABF3E26BF8795264C,2,u̯ei̯,1531,vowel
LATIN SMALL LETTER UPSILON - LATIN SMALL LETTER U,ʊu,0.000628338,EBB021EF50FC2C0D15E25F828BAE87A7,2,ʊu,1556,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER OPEN E - MODIFIER LETTER TRIANGULAR COLON,iɛ,0.000628338,D513DA8AD48A251A4CE327FA04F5156B,2,iɛː,1583,vowel
LATIN SMALL LETTER SCHWA - COMBINING TILDE BELOW - COMBINING TILDE,ə,0.000628338,13CB79C6FE0162AA6520F860753BD27F,2,ə̰̃,1594,vowel
LATIN SMALL LETTER AE - LATIN LETTER SMALL CAPITAL I,æɪ,0.000628338,CDB30C9D92E73A25B71549BBC05CC277,2,æɪ,1608,vowel
LATIN SMALL LETTER U BAR - COMBINING PLUS SIGN BELOW,ʉ,0.000628338,137140F6FB0FB3EC4B328E06CC0463E7,2,ʉ̟,1639,vowel
LATIN LETTER SMALL CAPITAL I - LATIN SMALL LETTER OPEN E,ɪɛ,0.000628338,D1F6114A28D77623483E1FA14209969F,2,ɪɛ,1647,vowel
LATIN SMALL LETTER E - LATIN SMALL LETTER OPEN O,eɔ,0.000628338,77E54E505C64B74E36A1B4AC691C3CF9,2,eɔ,1666,vowel
LATIN SMALL LETTER O - LATIN LETTER SMALL CAPITAL I,oɪ,0.000628338,1E2DA7BAFB27DA8F25EB7E835E5D1F00,2,oɪ,1670,vowel
LATIN SMALL LETTER I - COMBINING LEFT TACK BELOW,i,0.000628338,81523B8AEAB1A611724A1590FB4AED73,2,i̘,1685,vowel
LATIN SMALL LETTER U - COMBINING RIGHT TACK BELOW,u,0.000628338,1B88162303822E0B2D7697C93A5B8C17,2,u̙,1690,vowel
LATIN SMALL LETTER OPEN E - COMBINING TILDE BELOW - MODIFIER LETTER TRIANGULAR COLON,ɛ,0.000628338,2C02C72DE7CF2CF6A86CAE201B1E602B,2,ɛ̰ː,1733,vowel
LATIN SMALL LETTER I - COMBINING TILDE BELOW - MODIFIER LETTER TRIANGULAR COLON,i,0.000628338,39D8EC7C87ED550F1C4A5C68162593B6,2,ḭː,1736,vowel
LATIN SMALL LETTER O - COMBINING DIAERESIS BELOW - MODIFIER LETTER HALF TRIANGULAR COLON,o,0.000628338,B3EF5CEA583A5DE5084A05F090AD97BF,2,o̤ˑ,1740,vowel
LATIN SMALL LETTER OPEN O - COMBINING TILDE BELOW - MODIFIER LETTER TRIANGULAR COLON,ɔ,0.000628338,7F4D20C39D0095C519B795D90A826C28,2,ɔ̰ː,1742,vowel
LATIN SMALL LETTER I - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER OPEN E,iɛ,0.000628338,5DEBDA50D0F72740623BC33C065BFA59,2,iːɛ,1749,vowel
LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER TURNED V,uʌ,0.000628338,A3CEC4755332C2DC6E3E4E2685080C2E,2,uːʌ,1751,vowel
LATIN LETTER SMALL CAPITAL I - COMBINING DIAERESIS BELOW,ɪ,0.000628338,C85398B46F7993AABA76CDBCC70618ED,2,ɪ̤,1813,vowel
LATIN SMALL LIGATURE OE - LATIN SMALL LETTER I,œi,0.000628338,115AF4708E9049B2C8F7112F6E278A76,2,œi,1969,vowel
LATIN SMALL LETTER OPEN E - COMBINING UP TACK BELOW - MODIFIER LETTER TRIANGULAR COLON,ɛ,0.000628338,4C3CD513B2C045DE67B665EBA104825A,2,ɛ̝ː,1990,vowel
LATIN SMALL LETTER OPEN O - COMBINING UP TACK BELOW - MODIFIER LETTER TRIANGULAR COLON,ɔ,0.000628338,D7E5CA5B795D0701B013BE4EDA6D00E0,2,ɔ̝ː,1994,vowel
LATIN SMALL LETTER I - COMBINING LEFT HALF RING BELOW,i,0.000628338,BFF027641EF32A9B163B90912EAFFD2D,2,i̜,2086,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER A - COMBINING TILDE,ua,0.000628338,577C0D71A6ACE8549E0B76732A2DB3F2,2,uã,2090,vowel
LATIN SMALL LETTER OPEN O - MODIFIER LETTER HALF TRIANGULAR COLON,ɔ,0.000628338,C669AE9ED702C783A1E59B45B9F012C9,2,ɔˑ,2123,vowel
LATIN SMALL LETTER SCHWA - LATIN SMALL LETTER Y,əy,0.000628338,6FA52F9C96EB608F64A42FB657E5D6BA,2,əy,2126,vowel
LATIN SMALL LETTER E - COMBINING DOWN TACK BELOW - COMBINING DIAERESIS,e,0.000628338,0262EEBE7E0D3E7602D5C63984FDA0C9,2,ë̞,2141,vowel
LATIN SMALL LETTER A - MODIFIER LETTER SMALL J,a,0.000628338,030C01FD1F5974134D2AD16F70CCED5B,2,aʲ,2163,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,uu,0.000628338,07EACAAB2A151C95BF86E34F38CBB5D7,2,uu̯,2196,vowel
LATIN SMALL LETTER A - LATIN SMALL LETTER UPSILON - COMBINING TILDE,aʊ,0.000628338,5C7B475763DAC3322B2EE7A202D97FDD,2,aʊ̃,2241,vowel
LATIN SMALL LETTER O - LATIN SMALL LETTER UPSILON - COMBINING TILDE,oʊ,0.000628338,1028B030302C191E2F19E39EEF671CD5,2,oʊ̃,2249,vowel
LATIN SMALL LETTER OPEN O - COMBINING X ABOVE,ɔ,0.000628338,63BC585AA4C49D0C18299ED8B0273305,2,ɔ̽,2258,vowel
LATIN SMALL LETTER BARRED O - LATIN SMALL LETTER Y,ɵy,0.000628338,90A0622D5BF831FFB2089517041B87AF,2,ɵy,2269,vowel
LATIN SMALL LETTER ALPHA - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,ɑi,0.000628338,34E291E962C804751DE6298AAC4E0028,2,ɑi̯,2274,vowel
LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER AE,iæ,0.000628338,EF83CC923FEC0790BC0A6DE2306583D3,2,i̯æ,2284,vowel
LATIN SMALL LIGATURE OE - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,œi,0.000628338,8E16C106005FEE225CC3E5D60F2100F8,2,œi̯,2294,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,yu,0.000628338,250569487799B17D3DA49C01B0F5BEB9,2,yu̯,2301,vowel
LATIN SMALL LETTER O WITH STROKE - LATIN SMALL LETTER SCHWA,øə,0.000628338,BB0179115760D51583720A09F11B8DF1,2,øə,2310,vowel
LATIN SMALL LETTER I - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER SCHWA,iə,0.000628338,EC3CD805BD9BB7E4C9AC87219B87F40A,2,iːə,2314,vowel
LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER SCHWA,uə,0.000628338,DC7FA98107D20264E075F799A8FDBF5C,2,uːə,2319,vowel
LATIN SMALL LETTER E - LATIN LETTER SMALL CAPITAL I - COMBINING INVERTED BREVE BELOW,eɪ,0.000628338,6B51FB41C6EAD28AF19D0F5364EE2E4B,2,eɪ̯,2324,vowel
LATIN SMALL LETTER UPSILON - LATIN SMALL LETTER SCHWA,ʊə,0.000628338,5B9B26E489B5B8812C727A0B682C542C,2,ʊə,2330,vowel
LATIN SMALL LETTER OPEN E - LATIN SMALL LETTER U BAR,ɛʉ,0.000628338,69AD2FE731DB4A0D8A5A3557BCD0E0F1,2,ɛʉ,2331,vowel
LATIN SMALL LETTER I - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW,iə,0.000628338,459A3DB675A0B09706B26430FAF71319,2,iə̯,2356,vowel
LATIN SMALL LETTER U - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW,uə,0.000628338,1EA44801831867852FAEC38EA13B7174,2,uə̯,2357,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW,yə,0.000628338,1DFD18247395E4EBC604A55D0C05F3E6,2,yə̯,2359,vowel
LATIN SMALL LETTER I - COMBINING MINUS SIGN BELOW,i,0.000628338,AB0466BA40F80CF616A9CDC20E494E7D,2,i̠,2365,vowel
LATIN SMALL LETTER AE - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER UPSILON,æʊ,0.000628338,2F9DC5721FE3F2C6B5F909BDB322CABA,2,æːʊ,2389,vowel
LATIN LETTER SMALL CAPITAL I - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER U - COMBINING DOWN TACK BELOW,ɪu,0.000628338,F5064347ACD8201B8F45982FE71C440F,2,ɪ̯u̞,2441,vowel
LATIN SMALL LETTER UPSILON - COMBINING INVERTED BREVE BELOW - LATIN SMALL LETTER OPEN O,ʊɔ,0.000628338,1D094F4BF621A9909FEE26BB82B86B9A,2,ʊ̯ɔ,2442,vowel
LATIN SMALL LETTER TURNED A - LATIN LETTER SMALL CAPITAL I,ɐɪ,0.000628338,E5FD9B0647E30A73EE8EC9B0BE04235D,2,ɐɪ,2464,vowel
LATIN SMALL LETTER A - LATIN SMALL LETTER BARRED O - COMBINING INVERTED BREVE BELOW,aɵ,0.000628338,602B10B4EA1C787D1BA75007170E4206,2,aɵ̯,2492,vowel
LATIN SMALL LETTER CLOSED REVERSED OPEN E - LATIN LETTER SMALL CAPITAL Y - COMBINING INVERTED BREVE BELOW,ɞʏ,0.000628338,0D9A45F3223EEE5288D7AA628D73DA55,2,ɞʏ̯,2494,vowel
LATIN SMALL LETTER OPEN O - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,ɔ,0.000628338,DF1F73BF580F44F0A69CC5153FCED134,2,ɔˤː,2497,vowel
LATIN SMALL LETTER UPSILON - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,ʊ,0.000628338,369E1B37E014EBB0BDF75DD2016B16FE,2,ʊˤː,2498,vowel
LATIN SMALL LETTER TURNED V - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,ʌ,0.000628338,444C5411AC42FDDC44ACFFDC9A4E669F,2,ʌˤː,2499,vowel
LATIN SMALL LETTER OPEN E - COMBINING MINUS SIGN BELOW,ɛ,0.000628338,BAEA4390294AF3B435D1453B425EB936,2,ɛ̠,2513,vowel
LATIN SMALL LETTER E - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,ei,0.000628338,CB5F6C35EB535671871C49E5A14A6974,2,eːi̯,2527,vowel
LATIN SMALL LETTER O - MODIFIER LETTER TRIANGULAR COLON - LATIN SMALL LETTER U - COMBINING INVERTED BREVE BELOW,ou,0.000628338,5C578D0BC5B8F2701CD733E6767EB100,2,oːu̯,2528,vowel
LATIN SMALL LETTER Y - LATIN SMALL LIGATURE OE,yœ,0.000628338,C929BC8425ED764D5D4986B1A3C66032,2,yœ,2544,vowel
LATIN SMALL LETTER OPEN O - COMBINING LEFT HALF RING BELOW - MODIFIER LETTER TRIANGULAR COLON,ɔ,0.000628338,3309CFD088E575B7D047EC5CCE2D32C2,2,ɔ̜ː,2549,vowel
LATIN SMALL LETTER Y - LATIN SMALL LETTER I - COMBINING INVERTED BREVE BELOW,yi,0.000628338,43B90B03F14FC6B939CED998147355CD,2,yi̯,2551,vowel
LATIN SMALL LETTER I WITH STROKE - COMBINING RIGHT HALF RING BELOW,ɨ,0.000628338,C48CF3DF0E07565EE99EFD4986E19A1D,2,ɨ̹,2608,vowel
LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW - COMBINING LEFT HALF RING BELOW,o,0.000628338,0042966B458408C689C33B45454B6C2C,2,o̞̜,2643,vowel
LATIN SMALL LETTER E - MODIFIER LETTER RHOTIC HOOK,e,0.000628338,0F7AB17641F96B8CFCB4FCD9363F8E67,2,e˞,2653,vowel
